[19-08-2016, 23:18:22] Erro: Código: 42S22 Mensagem: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'name' in 'field list'
[12-06-2017, 15:00:05] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:00:50] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:02:11] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:03:02] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:04:30] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:04:59] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:09:03] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:09:19] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:09:34] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:09:47] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:09:49] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:10:19] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:10:21] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:10:42] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:11:22] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:12:55] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:12:58] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:15:52] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:15:53] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:15:55] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:15:55] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:16:28] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:17:10] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:17:30] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:17:31] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:13] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:14] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:14] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:15] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:15] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:15] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:15] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:16] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:28] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:29] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:30] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:30] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:36] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:18:55] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:53:27] SELECT * FROM banks ORDER BY code desc LIMIT 0, 1000
[12-06-2017, 15:53:27] Erro: Código: 42S22 Mensagem: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'code' in 'order clause'
[12-06-2017, 15:54:36] SELECT * FROM banks ORDER BY code desc LIMIT 0, 1000
[12-06-2017, 15:54:36] Erro: Código: 42S22 Mensagem: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'code' in 'order clause'
[12-06-2017, 15:54:38] SELECT * FROM banks ORDER BY code desc LIMIT 0, 1000
[12-06-2017, 15:54:38] Erro: Código: 42S22 Mensagem: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'code' in 'order clause'
[12-06-2017, 15:54:41] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:54:42] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:55:11] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 15:55:15] SELECT * FROM banks ORDER BY id asc LIMIT 0, 1000
[12-06-2017, 15:58:31] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:58:33] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:58:35] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
[12-06-2017, 15:59:09] SELECT * FROM banks ORDER BY 1 ASC LIMIT 0, 1000
